"Country Name","Country Code","Indicator Name","Indicator Code",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Aruba","ABW","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Angola","AGO","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,,,,,,,30.1,,,,,,,,,,,
"Albania","ALB","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,2,,,1.1,,,0.4,,,,1.1,,,,,,,
"Andorra","AND","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arab World","ARB","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Arab Emirates","ARE","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Argentina","ARG","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,0.4,,,,,,0,0,,,,1.1,2.1,2.4,2.3,4.1,4.6,4.1,4.6,4.8,5.7,9.4,14,6.8,5.2,3.7,3.2,2.6,2.6,2.5,2.2,0.9,0.8,0.7,0.7,,0.7,0.5,,
"Armenia","ARM","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,19.3,15.1,11.4,7.9,4.5,3.2,2.8,1.4,1.9,1.9,2.2,1.6,2.2,2.3,1.9,1.8,1.4,,
"American Samoa","ASM","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda","ATG","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australia","AUS","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,0.7,,,,,,0.7,,,,,,0.7,,1,0.7,,,,0.5,,0.5,,,,0.7,,,,,
"Austria","AUT","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,0.2,0,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.7,,,,
"Azerbaijan","AZE","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,2.7,0,0,0,0,,,,,,,,,,,,,,
"Burundi","BDI","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.1,,,,,,84.1,,,,,,,,77.7,,,,,,,71.8,,,,,,
"Belgium","BEL","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,0.2,0.2,0.2,0,0,0.2,0.2,0.2,0.2,0,0,,,,
"Benin","BEN","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,,,,,,,,53.1,,,,49.5,,,,
"Burkina Faso","BFA","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.1,,,,81.6,,,,,57.3,,,,,,55.3,,,,,43.7,,,,,
"Bangladesh","BGD","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,29.9,,25.4,,,37.8,,,44.2,,,,35.7,,,,,34.8,,,,,25.7,,,,,19.6,,,,,,14.8,,,
"Bulgaria","BGR","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,5.5,1.7,1.2,1.2,2,2.2,2,1.7,1.5,,,,,
"Bahrain","BHR","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The","BHS","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bosnia and Herzegovina","BIH","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.2,,,0.1,,,,0.1,,,,,,,,
"Belarus","BLR","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,10.5,7.1,3.2,2.1,1.4,0.3,0.4,0.1,0.1,0,0,0,0,0,0,0,0,0,0,,
"Belize","BLZ","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,9.9,,13.3,16,14.4,13.9,,,,,,,,,,,,,,,,,,,,
"Bermuda","BMU","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bolivia","BOL","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,19.3,,25.3,28.6,22.8,24.7,,13.7,19.3,16.4,12.4,11.1,10.5,,7.3,8.2,6.9,5.8,6.4,7.1,5.8,,
"Brazil","BRA","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","SI.POV.DDAY",,,,,,,,,,,,,,,,,,,,,,21.4,21.7,27.7,26.9,23.1,10.5,17.8,20.1,18.3,21.6,,20.9,19.9,,13,14.2,14,12.7,13.4,,11.6,10.3,11.1,9.7,8.6,7.2,6.8,5.6,5.4,,4.7,3.8,3.8,2.8,3.4,4.3,4.8,,
